Observations;age
CC310008;45
CC310463;45
CC320576;45
CC320608;45
CC320636;45
CC321368;45
CC321464;45
CC310214;46
CC310331;46
CC310450;46
CC310473;46
CC320002;46
CC320500;46
CC320621;46
CC321281;46
CC321331;46
CC310086;47
CC310224;47
CC310252;47
CC312058;47
CC320089;47
CC320107;47
CC320206;47
CC320218;47
CC320359;47
CC320776;47
CC320850;47
CC320870;47
CC320888;47
CC320893;47
CC322186;47
CC310142;48
CC310385;48
CC312222;48
CC320059;48
CC320160;48
CC320379;48
CC320429;48
CC320553;48
CC321154;48
CC321431;48
CC410354;48
CC420089;48
CC420383;48
CC321899;49
CC410097;49
CC410169;49
CC420004;49
CC420173;49
CC420322;49
CC420402;49
CC420587;49
CC420776;49
CC410284;50
CC420217;50
CC420226;50
CC420260;50
CC420566;50
CC420720;50
CC420888;50
CC410015;51
CC410323;51
CC420167;51
CC420202;51
CC420259;51
CC420392;51
CC420433;51
CC420493;51
CC420623;51
CC410121;52
CC410220;52
CC410432;52
CC420071;52
CC420075;52
CC420091;52
CC420149;52
CC420162;52
CC420182;52
CC420229;52
CC420324;52
CC420412;52
CC420589;52
CC410182;53
CC410251;53
CC420143;53
CC420204;53
CC420236;53
CC420396;53
CC410094;54
CC410248;54
CC410325;54
CC412021;54
CC420231;54
CC420261;54
CC420356;54
CC420454;54
CC420582;54
CC410032;55
CC410040;55
CC410113;55
CC410173;55
CC410179;55
CC410222;55
CC420197;55
CC420222;55
CC420241;55
CC420462;55
CC420464;55
CC410101;56
CC410226;56
CC410243;56
CC410390;56
CC420094;56
CC420100;56
CC420137;56
CC420148;56
CC420180;56
CC420286;56
CC420729;56
CC410084;57
CC410086;57
CC410119;57
CC410177;57
CC410387;57
CC420061;57
CC420348;57
CC410287;58
CC410289;58
CC410297;58
CC420157;58
CC420198;58
CC510015;58
CC510043;58
CC510161;58
CC520042;58
CC520253;58
CC510050;59
CC510609;59
CC510629;59
CC520168;59
CC520197;59
CC520287;59
CC520398;59
CC520584;59
CC510039;60
CC510242;60
CC510243;60
CC510258;60
CC510259;60
CC510284;60
CC510483;60
CC510568;60
CC520011;60
CC520065;60
CC520480;60
CC520624;60
